ordinal,card_id,recipe_id,material_a_id,material_a_name_ko,material_b_id,material_b_name_ko,branch,actor_id,actor_modifier_form,receptor_id,receptor_noun_form,rule_type,rule_key,law_pair,rule_text_ko,generated_name_ko,result_class,flag_count,flags
11,forge__burn_01__odd_02,burn_01|odd_02,burn_01,잉걸,odd_02,두 번 접힌 사다리,LAW,odd_02,두 번 접힌,burn_01,잉걸,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,두 번 접힌 잉걸,PRESSED_FIRE,0,
12,forge__burn_01__odd_03,burn_01|odd_03,burn_01,잉걸,odd_03,스스로 켜지는 초,LAW,burn_01,달군,odd_03,초,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,달군 초,BURNOUT,0,
13,forge__burn_01__odd_04,burn_01|odd_04,burn_01,잉걸,odd_04,뒤집힌 장갑,LAW,burn_01,달군,odd_04,장갑,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,달군 장갑,SEARING,0,
14,forge__burn_01__odd_05,burn_01|odd_05,burn_01,잉걸,odd_05,노래하는 못,LAW,burn_01,달군,odd_05,못,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 못,KINDLED,0,
15,forge__burn_01__odd_06,burn_01|odd_06,burn_01,잉걸,odd_06,자기를 재는 자,LAW,burn_01,달군,odd_06,자,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,달군 자,INCINERATION,0,
16,forge__burn_01__ore_burn,burn_01|ore_burn,burn_01,잉걸,ore_burn,타는 조각,LAW,burn_01,달군,ore_burn,불씨,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,달군 불씨,BURNOUT,0,
17,forge__burn_01__ore_join,burn_01|ore_join,burn_01,잉걸,ore_join,엉긴 조각,LAW,burn_01,달군,ore_join,뭉치,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,달군 뭉치,KINDLED,0,
18,forge__burn_01__ore_rot,burn_01|ore_rot,burn_01,잉걸,ore_rot,삭은 조각,LAW,burn_01,달군,ore_rot,부스러기,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,달군 부스러기,INCINERATION,0,
19,forge__burn_01__ore_scatter,burn_01|ore_scatter,burn_01,잉걸,ore_scatter,흩어지는 조각,LAW,burn_01,달군,ore_scatter,티끌,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,달군 티끌,BLAST,0,
20,forge__burn_01__ore_still,burn_01|ore_still,burn_01,잉걸,ore_still,굳은 조각,LAW,ore_still,굳은,burn_01,잉걸,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,굳은 잉걸,PRESSED_FIRE,0,
21,forge__burn_01__ore_wash,burn_01|ore_wash,burn_01,잉걸,ore_wash,씻긴 조각,LAW,burn_01,달군,ore_wash,속살,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,달군 속살,SEARING,0,
22,forge__burn_01__rot_01,burn_01|rot_01,burn_01,잉걸,rot_01,딱지,LAW,burn_01,달군,rot_01,딱지,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,달군 딱지,INCINERATION,0,
23,forge__burn_01__rot_02,burn_01|rot_02,burn_01,잉걸,rot_02,무른 뿌리,LAW,burn_01,달군,rot_02,뿌리,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,달군 뿌리,INCINERATION,0,
24,forge__burn_01__rot_03,burn_01|rot_03,burn_01,잉걸,rot_03,곰팡이 꽃,LAW,burn_01,달군,rot_03,곰팡이,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,달군 곰팡이,INCINERATION,0,
25,forge__burn_01__rot_04,burn_01|rot_04,burn_01,잉걸,rot_04,번지는 얼룩,LAW,burn_01,달군,rot_04,얼룩,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,달군 얼룩,INCINERATION,0,
26,forge__burn_01__rot_05,burn_01|rot_05,burn_01,잉걸,rot_05,내려앉은 냄새,LAW,burn_01,달군,rot_05,냄새,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,달군 냄새,INCINERATION,0,
27,forge__burn_01__scat_01,burn_01|scat_01,burn_01,잉걸,scat_01,가벼운 뼈,LAW,burn_01,달군,scat_01,뼈,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,달군 뼈,BLAST,0,
28,forge__burn_01__scat_02,burn_01|scat_02,burn_01,잉걸,scat_02,흩날리는 씨,LAW,burn_01,달군,scat_02,씨,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,달군 씨,BLAST,0,
29,forge__burn_01__scat_03,burn_01|scat_03,burn_01,잉걸,scat_03,벗겨진 껍데기,LAW,burn_01,달군,scat_03,껍데기,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,달군 껍데기,BLAST,0,
30,forge__burn_01__scat_04,burn_01|scat_04,burn_01,잉걸,scat_04,뜬 먼지,LAW,burn_01,달군,scat_04,먼지,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,달군 먼지,BLAST,0,
31,forge__burn_01__scat_05,burn_01|scat_05,burn_01,잉걸,scat_05,마른 바람,LAW,burn_01,달군,scat_05,바람,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,달군 바람,BLAST,0,
32,forge__burn_01__still_01,burn_01|still_01,burn_01,잉걸,still_01,서리꽃,LAW,still_01,서리 낀,burn_01,잉걸,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,서리 낀 잉걸,PRESSED_FIRE,0,
33,forge__burn_01__still_02,burn_01|still_02,burn_01,잉걸,still_02,멈춘 물방울,LAW,still_02,멈춘,burn_01,잉걸,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,멈춘 잉걸,PRESSED_FIRE,0,
34,forge__burn_01__still_03,burn_01|still_03,burn_01,잉걸,still_03,잠긴 발자국,LAW,still_03,잠긴,burn_01,잉걸,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,잠긴 잉걸,PRESSED_FIRE,0,
35,forge__burn_01__still_04,burn_01|still_04,burn_01,잉걸,still_04,굳은 숨,LAW,still_04,숨 멎은,burn_01,잉걸,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,숨 멎은 잉걸,PRESSED_FIRE,0,
36,forge__burn_01__still_05,burn_01|still_05,burn_01,잉걸,still_05,그친 종소리,LAW,still_05,그친,burn_01,잉걸,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,그친 잉걸,PRESSED_FIRE,0,
37,forge__burn_01__tool_01,burn_01|tool_01,burn_01,잉걸,tool_01,도가니,CATALYST,tool_01,달궈진,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,달궈진 잉걸,CATALYZED_BURN,0,
38,forge__burn_01__tool_02,burn_01|tool_02,burn_01,잉걸,tool_02,집게,CATALYST,tool_02,집어올린,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,집어올린 잉걸,CATALYZED_BURN,0,
39,forge__burn_01__tool_03,burn_01|tool_03,burn_01,잉걸,tool_03,체,CATALYST,tool_03,걸러진,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,걸러진 잉걸,CATALYZED_BURN,0,
40,forge__burn_01__tool_04,burn_01|tool_04,burn_01,잉걸,tool_04,등불,CATALYST,tool_04,밝혀진,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,밝혀진 잉걸,CATALYZED_BURN,0,
41,forge__burn_01__tool_05,burn_01|tool_05,burn_01,잉걸,tool_05,계측기,CATALYST,tool_05,재어진,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,재어진 잉걸,CATALYZED_BURN,0,
42,forge__burn_01__tool_06,burn_01|tool_06,burn_01,잉걸,tool_06,풀무,CATALYST,tool_06,불어넣은,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,불어넣은 잉걸,CATALYZED_BURN,0,
43,forge__burn_01__tool_07,burn_01|tool_07,burn_01,잉걸,tool_07,저울,CATALYST,tool_07,달아본,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,달아본 잉걸,CATALYZED_BURN,0,
44,forge__burn_01__tool_08,burn_01|tool_08,burn_01,잉걸,tool_08,표본 상자,CATALYST,tool_08,갈무리한,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,갈무리한 잉걸,CATALYZED_BURN,0,
45,forge__burn_01__tool_09,burn_01|tool_09,burn_01,잉걸,tool_09,갱도 지도,CATALYST,tool_09,그려진,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,그려진 잉걸,CATALYZED_BURN,0,
46,forge__burn_01__tool_10,burn_01|tool_10,burn_01,잉걸,tool_10,손수레,CATALYST,tool_10,실려온,burn_01,잉걸,RESULT_CLASS,CATALYZED_BURN,,,실려온 잉걸,CATALYZED_BURN,0,
47,forge__burn_01__wash_01,burn_01|wash_01,burn_01,잉걸,wash_01,맑은 눈물,LAW,burn_01,달군,wash_01,눈물,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,달군 눈물,SEARING,0,
48,forge__burn_01__wash_02,burn_01|wash_02,burn_01,잉걸,wash_02,닳은 돌,LAW,burn_01,달군,wash_02,돌,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,달군 돌,SEARING,0,
49,forge__burn_01__wash_03,burn_01|wash_03,burn_01,잉걸,wash_03,빈 껍질,LAW,burn_01,달군,wash_03,껍질,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,달군 껍질,SEARING,0,
50,forge__burn_01__wash_04,burn_01|wash_04,burn_01,잉걸,wash_04,지워진 자국,LAW,burn_01,달군,wash_04,자국,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,달군 자국,SEARING,0,
51,forge__burn_01__wash_05,burn_01|wash_05,burn_01,잉걸,wash_05,가라앉은 앙금,LAW,burn_01,달군,wash_05,앙금,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,달군 앙금,SEARING,0,
52,forge__burn_02__burn_03,burn_02|burn_03,burn_02,꺼진 심지,burn_03,눌어붙은 재,LAW,burn_02,그을린,burn_03,재,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,그을린 재,BURNOUT,0,
53,forge__burn_02__burn_04,burn_02|burn_04,burn_02,꺼진 심지,burn_04,남은 열,LAW,burn_02,그을린,burn_04,열,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,그을린 열,BURNOUT,0,
54,forge__burn_02__burn_05,burn_02|burn_05,burn_02,꺼진 심지,burn_05,첫 불티,LAW,burn_02,그을린,burn_05,불티,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,그을린 불티,BURNOUT,0,
55,forge__burn_02__join_01,burn_02|join_01,burn_02,꺼진 심지,join_01,엉킨 실,LAW,burn_02,그을린,join_01,실,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 실,KINDLED,0,
56,forge__burn_02__join_02,burn_02|join_02,burn_02,꺼진 심지,join_02,붙은 손,LAW,burn_02,그을린,join_02,손,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 손,KINDLED,0,
57,forge__burn_02__join_03,burn_02|join_03,burn_02,꺼진 심지,join_03,자란 매듭,LAW,burn_02,그을린,join_03,매듭,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 매듭,KINDLED,0,
58,forge__burn_02__join_04,burn_02|join_04,burn_02,꺼진 심지,join_04,이어진 그림자,LAW,burn_02,그을린,join_04,그림자,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 그림자,KINDLED,0,
59,forge__burn_02__join_05,burn_02|join_05,burn_02,꺼진 심지,join_05,겹친 소리,LAW,burn_02,그을린,join_05,소리,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 소리,KINDLED,0,
60,forge__burn_02__odd_01,burn_02|odd_01,burn_02,꺼진 심지,odd_01,걸어다니는 주전자,LAW,burn_02,그을린,odd_01,주전자,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 주전자,KINDLED,0,
61,forge__burn_02__odd_02,burn_02|odd_02,burn_02,꺼진 심지,odd_02,두 번 접힌 사다리,LAW,odd_02,두 번 접힌,burn_02,심지,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,두 번 접힌 심지,PRESSED_FIRE,0,
62,forge__burn_02__odd_03,burn_02|odd_03,burn_02,꺼진 심지,odd_03,스스로 켜지는 초,LAW,burn_02,그을린,odd_03,초,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,그을린 초,BURNOUT,0,
63,forge__burn_02__odd_04,burn_02|odd_04,burn_02,꺼진 심지,odd_04,뒤집힌 장갑,LAW,burn_02,그을린,odd_04,장갑,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,그을린 장갑,SEARING,0,
64,forge__burn_02__odd_05,burn_02|odd_05,burn_02,꺼진 심지,odd_05,노래하는 못,LAW,burn_02,그을린,odd_05,못,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 못,KINDLED,0,
65,forge__burn_02__odd_06,burn_02|odd_06,burn_02,꺼진 심지,odd_06,자기를 재는 자,LAW,burn_02,그을린,odd_06,자,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,그을린 자,INCINERATION,0,
66,forge__burn_02__ore_burn,burn_02|ore_burn,burn_02,꺼진 심지,ore_burn,타는 조각,LAW,burn_02,그을린,ore_burn,불씨,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,그을린 불씨,BURNOUT,0,
67,forge__burn_02__ore_join,burn_02|ore_join,burn_02,꺼진 심지,ore_join,엉긴 조각,LAW,burn_02,그을린,ore_join,뭉치,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,그을린 뭉치,KINDLED,0,
68,forge__burn_02__ore_rot,burn_02|ore_rot,burn_02,꺼진 심지,ore_rot,삭은 조각,LAW,burn_02,그을린,ore_rot,부스러기,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,그을린 부스러기,INCINERATION,0,
69,forge__burn_02__ore_scatter,burn_02|ore_scatter,burn_02,꺼진 심지,ore_scatter,흩어지는 조각,LAW,burn_02,그을린,ore_scatter,티끌,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,그을린 티끌,BLAST,0,
70,forge__burn_02__ore_still,burn_02|ore_still,burn_02,꺼진 심지,ore_still,굳은 조각,LAW,ore_still,굳은,burn_02,심지,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,굳은 심지,PRESSED_FIRE,0,
71,forge__burn_02__ore_wash,burn_02|ore_wash,burn_02,꺼진 심지,ore_wash,씻긴 조각,LAW,burn_02,그을린,ore_wash,속살,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,그을린 속살,SEARING,0,
72,forge__burn_02__rot_01,burn_02|rot_01,burn_02,꺼진 심지,rot_01,딱지,LAW,burn_02,그을린,rot_01,딱지,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,그을린 딱지,INCINERATION,0,
73,forge__burn_02__rot_02,burn_02|rot_02,burn_02,꺼진 심지,rot_02,무른 뿌리,LAW,burn_02,그을린,rot_02,뿌리,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,그을린 뿌리,INCINERATION,0,
74,forge__burn_02__rot_03,burn_02|rot_03,burn_02,꺼진 심지,rot_03,곰팡이 꽃,LAW,burn_02,그을린,rot_03,곰팡이,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,그을린 곰팡이,INCINERATION,0,
75,forge__burn_02__rot_04,burn_02|rot_04,burn_02,꺼진 심지,rot_04,번지는 얼룩,LAW,burn_02,그을린,rot_04,얼룩,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,그을린 얼룩,INCINERATION,0,
76,forge__burn_02__rot_05,burn_02|rot_05,burn_02,꺼진 심지,rot_05,내려앉은 냄새,LAW,burn_02,그을린,rot_05,냄새,LAW,BURN|ROT,BURN|ROT,무너지는 것을 태우면 재만 남는다.,그을린 냄새,INCINERATION,0,
77,forge__burn_02__scat_01,burn_02|scat_01,burn_02,꺼진 심지,scat_01,가벼운 뼈,LAW,burn_02,그을린,scat_01,뼈,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,그을린 뼈,BLAST,0,
78,forge__burn_02__scat_02,burn_02|scat_02,burn_02,꺼진 심지,scat_02,흩날리는 씨,LAW,burn_02,그을린,scat_02,씨,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,그을린 씨,BLAST,0,
79,forge__burn_02__scat_03,burn_02|scat_03,burn_02,꺼진 심지,scat_03,벗겨진 껍데기,LAW,burn_02,그을린,scat_03,껍데기,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,그을린 껍데기,BLAST,0,
80,forge__burn_02__scat_04,burn_02|scat_04,burn_02,꺼진 심지,scat_04,뜬 먼지,LAW,burn_02,그을린,scat_04,먼지,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,그을린 먼지,BLAST,0,
81,forge__burn_02__scat_05,burn_02|scat_05,burn_02,꺼진 심지,scat_05,마른 바람,LAW,burn_02,그을린,scat_05,바람,LAW,BURN|SCATTER,BURN|SCATTER,달아나는 것에 불이 붙으면 터진다.,그을린 바람,BLAST,0,
82,forge__burn_02__still_01,burn_02|still_01,burn_02,꺼진 심지,still_01,서리꽃,LAW,still_01,서리 낀,burn_02,심지,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,서리 낀 심지,PRESSED_FIRE,0,
83,forge__burn_02__still_02,burn_02|still_02,burn_02,꺼진 심지,still_02,멈춘 물방울,LAW,still_02,멈춘,burn_02,심지,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,멈춘 심지,PRESSED_FIRE,0,
84,forge__burn_02__still_03,burn_02|still_03,burn_02,꺼진 심지,still_03,잠긴 발자국,LAW,still_03,잠긴,burn_02,심지,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,잠긴 심지,PRESSED_FIRE,0,
85,forge__burn_02__still_04,burn_02|still_04,burn_02,꺼진 심지,still_04,굳은 숨,LAW,still_04,숨 멎은,burn_02,심지,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,숨 멎은 심지,PRESSED_FIRE,0,
86,forge__burn_02__still_05,burn_02|still_05,burn_02,꺼진 심지,still_05,그친 종소리,LAW,still_05,그친,burn_02,심지,LAW,STILL|BURN,STILL|BURN,터지려는 것을 붙잡으면 눌린다.,그친 심지,PRESSED_FIRE,0,
87,forge__burn_02__tool_01,burn_02|tool_01,burn_02,꺼진 심지,tool_01,도가니,CATALYST,tool_01,달궈진,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,달궈진 심지,CATALYZED_BURN,0,
88,forge__burn_02__tool_02,burn_02|tool_02,burn_02,꺼진 심지,tool_02,집게,CATALYST,tool_02,집어올린,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,집어올린 심지,CATALYZED_BURN,0,
89,forge__burn_02__tool_03,burn_02|tool_03,burn_02,꺼진 심지,tool_03,체,CATALYST,tool_03,걸러진,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,걸러진 심지,CATALYZED_BURN,0,
90,forge__burn_02__tool_04,burn_02|tool_04,burn_02,꺼진 심지,tool_04,등불,CATALYST,tool_04,밝혀진,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,밝혀진 심지,CATALYZED_BURN,0,
91,forge__burn_02__tool_05,burn_02|tool_05,burn_02,꺼진 심지,tool_05,계측기,CATALYST,tool_05,재어진,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,재어진 심지,CATALYZED_BURN,0,
92,forge__burn_02__tool_06,burn_02|tool_06,burn_02,꺼진 심지,tool_06,풀무,CATALYST,tool_06,불어넣은,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,불어넣은 심지,CATALYZED_BURN,0,
93,forge__burn_02__tool_07,burn_02|tool_07,burn_02,꺼진 심지,tool_07,저울,CATALYST,tool_07,달아본,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,달아본 심지,CATALYZED_BURN,0,
94,forge__burn_02__tool_08,burn_02|tool_08,burn_02,꺼진 심지,tool_08,표본 상자,CATALYST,tool_08,갈무리한,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,갈무리한 심지,CATALYZED_BURN,0,
95,forge__burn_02__tool_09,burn_02|tool_09,burn_02,꺼진 심지,tool_09,갱도 지도,CATALYST,tool_09,그려진,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,그려진 심지,CATALYZED_BURN,0,
96,forge__burn_02__tool_10,burn_02|tool_10,burn_02,꺼진 심지,tool_10,손수레,CATALYST,tool_10,실려온,burn_02,심지,RESULT_CLASS,CATALYZED_BURN,,,실려온 심지,CATALYZED_BURN,0,
97,forge__burn_02__wash_01,burn_02|wash_01,burn_02,꺼진 심지,wash_01,맑은 눈물,LAW,burn_02,그을린,wash_01,눈물,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,그을린 눈물,SEARING,0,
98,forge__burn_02__wash_02,burn_02|wash_02,burn_02,꺼진 심지,wash_02,닳은 돌,LAW,burn_02,그을린,wash_02,돌,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,그을린 돌,SEARING,0,
99,forge__burn_02__wash_03,burn_02|wash_03,burn_02,꺼진 심지,wash_03,빈 껍질,LAW,burn_02,그을린,wash_03,껍질,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,그을린 껍질,SEARING,0,
100,forge__burn_02__wash_04,burn_02|wash_04,burn_02,꺼진 심지,wash_04,지워진 자국,LAW,burn_02,그을린,wash_04,자국,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,그을린 자국,SEARING,0,
101,forge__burn_02__wash_05,burn_02|wash_05,burn_02,꺼진 심지,wash_05,가라앉은 앙금,LAW,burn_02,그을린,wash_05,앙금,LAW,BURN|WASH,BURN|WASH,불로 씻으면 태워서 없앤다.,그을린 앙금,SEARING,0,
102,forge__burn_03__burn_04,burn_03|burn_04,burn_03,눌어붙은 재,burn_04,남은 열,LAW,burn_03,눌어붙은,burn_04,열,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,눌어붙은 열,BURNOUT,0,
103,forge__burn_03__burn_05,burn_03|burn_05,burn_03,눌어붙은 재,burn_05,첫 불티,LAW,burn_03,눌어붙은,burn_05,불티,LAW,BURN|BURN,BURN|BURN,점화가 겹치면 남김없이 탄다.,눌어붙은 불티,BURNOUT,0,
104,forge__burn_03__join_01,burn_03|join_01,burn_03,눌어붙은 재,join_01,엉킨 실,LAW,burn_03,눌어붙은,join_01,실,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,눌어붙은 실,KINDLED,0,
105,forge__burn_03__join_02,burn_03|join_02,burn_03,눌어붙은 재,join_02,붙은 손,LAW,burn_03,눌어붙은,join_02,손,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,눌어붙은 손,KINDLED,0,
106,forge__burn_03__join_03,burn_03|join_03,burn_03,눌어붙은 재,join_03,자란 매듭,LAW,burn_03,눌어붙은,join_03,매듭,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,눌어붙은 매듭,KINDLED,0,
107,forge__burn_03__join_04,burn_03|join_04,burn_03,눌어붙은 재,join_04,이어진 그림자,LAW,burn_03,눌어붙은,join_04,그림자,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,눌어붙은 그림자,KINDLED,0,
108,forge__burn_03__join_05,burn_03|join_05,burn_03,눌어붙은 재,join_05,겹친 소리,LAW,burn_03,눌어붙은,join_05,소리,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,눌어붙은 소리,KINDLED,0,
109,forge__burn_03__odd_01,burn_03|odd_01,burn_03,눌어붙은 재,odd_01,걸어다니는 주전자,LAW,burn_03,눌어붙은,odd_01,주전자,LAW,BURN|JOIN,BURN|JOIN,이어붙이면 더 크게 탄다.,눌어붙은 주전자,KINDLED,0,
